"message,"date-time","tick"
"Log inizialized","2021-01-26 16:43:39.173284","1611675819.173284"
"Readed configuration file","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted csv into array","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted csv into array","2021-01-26 16:43:39.173284","1611675819.173284"
"Readed input(s) file","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted csv into array","2021-01-26 16:43:39.173284","1611675819.173284"
"Load users IDs","2021-01-26 16:43:39.173284","1611675819.173284"
"Getted all position where delete","2021-01-26 16:43:39.173284","1611675819.173284"
"Secret header elaborated","2021-01-26 16:43:39.173284","1611675819.173284"
"Secret body elaborated","2021-01-26 16:43:39.173284","1611675819.173284"
"Secret elaborated","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted array into csv","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted array into csv","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted array into csv","2021-01-26 16:43:39.173284","1611675819.173284"
"Converted array into csv","2021-01-26 16:43:39.173284","1611675819.173284"
"Writed outputs","2021-01-26 16:43:39.173284","1611675819.173284"
"End","2021-01-26 16:43:39.173284","1611675819.173284"
"Start","2021-01-26 16:45:28.604001","1611675928.604001"
"Log inizialized","2021-01-26 16:45:28.604001","1611675928.604001"
"Readed configuration file","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted csv into array","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted csv into array","2021-01-26 16:45:28.604001","1611675928.604001"
"Readed input(s) file","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted csv into array","2021-01-26 16:45:28.604001","1611675928.604001"
"Load users IDs","2021-01-26 16:45:28.604001","1611675928.604001"
"Getted all position where delete","2021-01-26 16:45:28.604001","1611675928.604001"
"Secret header elaborated","2021-01-26 16:45:28.604001","1611675928.604001"
"Secret body elaborated","2021-01-26 16:45:28.604001","1611675928.604001"
"Secret elaborated","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted array into csv","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted array into csv","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted array into csv","2021-01-26 16:45:28.604001","1611675928.604001"
"Converted array into csv","2021-01-26 16:45:28.604001","1611675928.604001"
"Writed outputs","2021-01-26 16:45:28.604001","1611675928.604001"
"End","2021-01-26 16:45:28.604001","1611675928.604001"
"Start","2021-01-26 16:47:34.542047","1611676054.542047"
"Log inizialized","2021-01-26 16:47:34.542047","1611676054.542047"
"Readed configuration file","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted csv into array","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted csv into array","2021-01-26 16:47:34.542047","1611676054.542047"
"Readed input(s) file","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted csv into array","2021-01-26 16:47:34.542047","1611676054.542047"
"Load users IDs","2021-01-26 16:47:34.542047","1611676054.542047"
"Getted all position where delete","2021-01-26 16:47:34.542047","1611676054.542047"
"Secret header elaborated","2021-01-26 16:47:34.542047","1611676054.542047"
"Secret body elaborated","2021-01-26 16:47:34.542047","1611676054.542047"
"Secret elaborated","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted array into csv","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted array into csv","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted array into csv","2021-01-26 16:47:34.542047","1611676054.542047"
"Converted array into csv","2021-01-26 16:47:34.542047","1611676054.542047"
"Writed outputs","2021-01-26 16:47:34.542047","1611676054.542047"
"End","2021-01-26 16:47:34.542047","1611676054.542047"
"Start","2021-01-26 16:48:09.641711","1611676089.641711"
"Log inizialized","2021-01-26 16:48:09.641711","1611676089.641711"
"Readed configuration file","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted csv into array","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted csv into array","2021-01-26 16:48:09.641711","1611676089.641711"
"Readed input(s) file","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted csv into array","2021-01-26 16:48:09.641711","1611676089.641711"
"Load users IDs","2021-01-26 16:48:09.641711","1611676089.641711"
"Getted all position where delete","2021-01-26 16:48:09.641711","1611676089.641711"
"Secret header elaborated","2021-01-26 16:48:09.641711","1611676089.641711"
"Secret body elaborated","2021-01-26 16:48:09.641711","1611676089.641711"
"Secret elaborated","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted array into csv","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted array into csv","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted array into csv","2021-01-26 16:48:09.641711","1611676089.641711"
"Converted array into csv","2021-01-26 16:48:09.641711","1611676089.641711"
"Writed outputs","2021-01-26 16:48:09.641711","1611676089.641711"
"End","2021-01-26 16:48:09.641711","1611676089.641711"
"Start","2021-01-26 16:48:54.803494","1611676134.803494"
"Log inizialized","2021-01-26 16:48:54.803494","1611676134.803494"
"Readed configuration file","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted csv into array","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted csv into array","2021-01-26 16:48:54.803494","1611676134.803494"
"Readed input(s) file","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted csv into array","2021-01-26 16:48:54.803494","1611676134.803494"
"Load users IDs","2021-01-26 16:48:54.803494","1611676134.803494"
"Getted all position where delete","2021-01-26 16:48:54.803494","1611676134.803494"
"Secret header elaborated","2021-01-26 16:48:54.803494","1611676134.803494"
"Secret body elaborated","2021-01-26 16:48:54.803494","1611676134.803494"
"Secret elaborated","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted array into csv","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted array into csv","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted array into csv","2021-01-26 16:48:54.803494","1611676134.803494"
"Converted array into csv","2021-01-26 16:48:54.803494","1611676134.803494"
"Writed outputs","2021-01-26 16:48:54.803494","1611676134.803494"
"End","2021-01-26 16:48:54.803494","1611676134.803494"
"Start","2021-01-26 16:49:10.175928","1611676150.175928"
"Log inizialized","2021-01-26 16:49:10.175928","1611676150.175928"
"Readed configuration file","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted csv into array","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted csv into array","2021-01-26 16:49:10.175928","1611676150.175928"
"Readed input(s) file","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted csv into array","2021-01-26 16:49:10.175928","1611676150.175928"
"Load users IDs","2021-01-26 16:49:10.175928","1611676150.175928"
"Getted all position where delete","2021-01-26 16:49:10.175928","1611676150.175928"
"Secret header elaborated","2021-01-26 16:49:10.175928","1611676150.175928"
"Secret body elaborated","2021-01-26 16:49:10.175928","1611676150.175928"
"Secret elaborated","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted array into csv","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted array into csv","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted array into csv","2021-01-26 16:49:10.175928","1611676150.175928"
"Converted array into csv","2021-01-26 16:49:10.175928","1611676150.175928"
"Writed outputs","2021-01-26 16:49:10.175928","1611676150.175928"
"End","2021-01-26 16:49:10.175928","1611676150.175928"
"Start","2021-01-26 16:49:22.207487","1611676162.207487"
"Log inizialized","2021-01-26 16:49:22.207487","1611676162.207487"
"Readed configuration file","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted csv into array","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted csv into array","2021-01-26 16:49:22.207487","1611676162.207487"
"Readed input(s) file","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted csv into array","2021-01-26 16:49:22.207487","1611676162.207487"
"Load users IDs","2021-01-26 16:49:22.207487","1611676162.207487"
"Getted all position where delete","2021-01-26 16:49:22.207487","1611676162.207487"
"Secret header elaborated","2021-01-26 16:49:22.207487","1611676162.207487"
"Secret body elaborated","2021-01-26 16:49:22.207487","1611676162.207487"
"Secret elaborated","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted array into csv","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted array into csv","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted array into csv","2021-01-26 16:49:22.207487","1611676162.207487"
"Converted array into csv","2021-01-26 16:49:22.207487","1611676162.207487"
"Writed outputs","2021-01-26 16:49:22.207487","1611676162.207487"
"End","2021-01-26 16:49:22.207487","1611676162.207487"
"Start","2021-01-26 16:50:22.070180","1611676222.07018"
"Log inizialized","2021-01-26 16:50:22.070180","1611676222.07018"
"Readed configuration file","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted csv into array","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted csv into array","2021-01-26 16:50:22.070180","1611676222.07018"
"Readed input(s) file","2021-01-26 16:50:22.070180","1611676222.07018"
"Converted csv into array","2021-01-26 16:50:22.070180","1611676222.07018"
"Load users IDs","2021-01-26 16:50:22.070180","1611676222.07018"
"Getted all position where delete","2021-01-26 16:50:22.070180","1611676222.07018"
"Secret header elaborated","2021-01-26 16:50:22.070180","1611676222.07018"
"Secret body elaborated","2021-01-26 16:50:22.070180","1611676222.07018"
