#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Hostname","ClientId","IPAddress"
"WKS0957.marconi.edu","e0-18-77-bf-fc-37","172.16.3.189"
"WKS0958.marconi.edu","a0-66-10-09-df-95","172.16.3.190"
"WKS0959.marconi.edu","e8-6a-64-b5-5b-8b","172.16.3.191"
"WKS0960.marconi.edu","fc-08-4a-d8-21-c1","172.16.3.192"
"WKS0961.marconi.edu","74-2b-62-ec-f2-ec","172.16.3.193"
"DESKTOP-9TQDL0E.marconi.edu","8c-73-6e-bb-e1-be","172.16.3.194"
"WKS0964.marconi.edu","e0-18-77-bd-5b-8a","172.16.3.196"
"WKS0965.marconi.edu","e8-6a-64-aa-f2-cd","172.16.3.197"
"WKS0968.marconi.edu","54-ee-75-e9-8d-40","172.16.3.200"
"WKS0971.marconi.edu","a0-66-10-09-e2-ef","172.16.3.203"
"WKS0972.marconi.edu","a0-66-10-09-e2-00","172.16.3.204"
"WKS0973.marconi.edu","38-af-d7-38-47-12","172.16.3.205"
"WKS0975.marconi.edu","a0-66-10-09-e2-bb","172.16.3.207"
"WKS0979.marconi.edu","a0-66-10-09-df-c4","172.16.3.211"
"WKS0981.marconi.edu","8c-73-6e-bc-bf-ff","172.16.3.213"
"WKS0982.marconi.edu","54-ee-75-e9-c7-2b","172.16.3.214"
"WKS0983.marconi.edu","a0-66-10-09-de-c8","172.16.3.215"
"WKS0985.marconi.edu","a0-66-10-09-e0-37","172.16.3.217"
"WKS0986.marconi.edu","74-2b-62-ec-f4-b5","172.16.3.218"
"WKS0989.marconi.edu","54-ee-75-dc-e6-3e","172.16.3.221"
